오프셋,뱅크,원본HEX,일본어(전각카타카나),한국어번역,카테고리,비고
0x040EE,Bank1,C2BC9BC8cb9bc8 (from 02 control),이조우노요우니 카쿠테이시마시타,위와 같이 확정되었습니다,UI/대화,
0x043DF,Bank1,(키로쿠사레테이마센),기록되어 있지 않습니다,기록이 없습니다,UI/대화,
0x04F57,Bank1,B5BEB6BCAEB3,サツキショウ,사쓰키상 (皐月賞),경주명,실제 G1 경주 / 나카야마 2000m
0x04F6D,Bank1,,テンノウショウ ー ハル,천황상 (봄),경주명,실제 G1 경주 / 교토 3200m
0x04F83,Bank1,,ヤスダキネン,야스다 기념 (安田記念),경주명,실제 G1 경주 / 도쿄 1600m
0x04F99,Bank1,,ダービー,일본 더비 (日本ダービー),경주명,실제 G1 경주 / 도쿄 2400m
0x04FAF,Bank1,,タカラヅカキネン,다카라즈카 기념 (宝塚記念),경주명,실제 G1 경주 / 한신 2200m
0x04FC5,Bank1,,テンノウショウ ー アキ,천황상 (가을),경주명,실제 G1 경주 / 도쿄 2000m
0x04FDB,Bank1,,キッカショウ,국화상 (菊花賞),경주명,실제 G1 경주 / 교토 3000m
0x04FF1,Bank1,,マイルCS,마일 챔피언십,경주명,실제 G1 경주 / 교토 1600m
0x05007,Bank1,,ジャパンカップ,재팬컵,경주명,실제 G1 경주 / 도쿄 2400m
0x0501D,Bank1,,ヨコエカップ,요코에컵,경주명,게임 전용 (스태프 이름에서 유래)
0x05033,Bank1,,アサヒ杯3歳S,아사히배 3세 스테이크스,경주명,실제 G1 경주
0x05049,Bank1,,スプリンターズS,스프린터즈 스테이크스,경주명,실제 G1 경주 / 나카야마 1200m
0x0505F,Bank1,,アリマキネン,아리마 기념 (有馬記念),경주명,실제 G1 경주 / 나카야마 2500m
0x05075,Bank1,,セイセキ セン ショウ,성적 전적 승,UI,결과 표시
0x05088,Bank1,,ショウキン,상금,UI,
0x057BA,Bank1,,ダービートライアル,더비 트라이얼,경주명,예선 경주
0x057E7,Bank1,,マイルCSTRトライアル,마일 CS 트라이얼,경주명,예선 경주
0x05E26,Bank1,,ハレ,맑음,날씨,
0x05E2A,Bank1,,クモリ,흐림,날씨,
0x05E2F,Bank1,,アメ,비,날씨,
0x05E33,Bank1,,アラシ,폭풍,날씨,
0x05E4F,Bank1,,(クサ),(잔디),마장,괄호 포함
